,symbol_id,exchange_id,symbol_type,asset_id_base,asset_id_quote,data_end,data_quote_end,price,symbol_id_exchange,asset_id_base_exchange,asset_id_quote_exchange,price_precision,size_precision,option_type_is_call,option_strike_price,option_contract_unit,option_exercise_style,option_expiration_time,data_trade_end,future_delivery_time,future_contract_unit,future_contract_unit_asset,asset_id_unit,data_start,data_quote_start,data_orderbook_start,data_orderbook_end,data_trade_start,volume_1hrs,volume_1hrs_usd,volume_1day,volume_1day_usd,index_id,index_display_name,index_display_description,contract_delivery_time,contract_unit,contract_id,contract_display_name,contract_display_description
43762,COINBASE_SPOT_WBTC_USD,COINBASE,SPOT,WBTC,USD,2022-01-06,2022-01-06T15:41:25.5905540Z,42926.16,WBTC-USD,WBTC,USD,0.01,1e-08,,,,,,2022-01-06T15:32:56.2694520Z,,,,,2020-10-20,2020-10-20T16:01:39.0703940Z,,,2020-10-20T16:10:51.2066240Z,0.22516793,9666.58,19.34027964,830288.73,,,,,,,,
47189,COINBASE_SPOT_NU_USD,COINBASE,SPOT,NU,USD,2022-01-06,2022-01-06T15:39:02.0756580Z,0.6607,NU-USD,NU,USD,0.0001,1e-06,,,,,,2022-01-06T15:27:07.8511970Z,,,,,2020-12-02,2020-12-02T16:59:24.4489270Z,,,2020-12-02T17:04:27.2485820Z,181539.380711,120045.6,9813318.61696,6489201.79,,,,,,,,
47699,COINBASE_SPOT_ZEC_USD,COINBASE,SPOT,ZEC,USD,2022-01-06,2022-01-06T15:38:48.6712950Z,133.82,ZEC-USD,ZEC,USD,0.01,1e-08,,,,,,2022-01-06T15:33:34.9698490Z,,,,,2020-12-08,2020-12-08T17:01:44.5732350Z,,,2020-12-08T17:15:14.3925440Z,1990.73147637,266478.93,73298.59154032,9811735.4,,,,,,,,
47803,COINBASE_SPOT_FIL_USD,COINBASE,SPOT,FIL,USD,2022-01-06,2022-01-06T15:29:17.2078450Z,32.64,FIL-USD,FIL,USD,0.01,0.001,,,,,,2022-01-06T15:31:30.3989590Z,,,,,2020-12-09,2020-12-09T17:01:33.0313250Z,,,2020-12-09T17:08:36.5729420Z,16724.343,546244.09,662786.733,21647686.41,,,,,,,,
48156,COINBASE_SPOT_AAVE_USD,COINBASE,SPOT,AAVE,USD,2022-01-06,2022-01-06T15:40:58.3173660Z,224.9,AAVE-USD,AAVE,USD,0.01,0.001,,,,,,2022-01-06T15:29:23.2875750Z,,,,,2020-12-15,2020-12-15T17:00:15.1077480Z,,,2020-12-15T17:13:24.3536720Z,7247.434,1630796.3,92936.145,20912218.25,,,,,,,,
48159,COINBASE_SPOT_BNT_USD,COINBASE,SPOT,BNT,USD,2022-01-06,2022-01-06T15:32:54.4048250Z,3.195,BNT-USD,BNT,USD,0.01,1e-06,,,,,,2022-01-06T15:38:56.0102600Z,,,,,2020-12-15,2020-12-15T17:00:46.7817580Z,,,2020-12-15T17:08:19.8013130Z,19098.085601,60997.84,895202.822443,2859209.83,,,,,,,,
48162,COINBASE_SPOT_SNX_USD,COINBASE,SPOT,SNX,USD,2022-01-06,2022-01-06T15:33:59.0158360Z,6.055,SNX-USD,SNX,USD,0.01,0.001,,,,,,2022-01-06T15:34:09.1632710Z,,,,,2020-12-15,2020-12-15T17:00:35.7610030Z,,,2020-12-15T17:04:56.9930610Z,33784.663,204619.0,1960844.421,11875981.2,,,,,,,,
48317,COINBASE_SPOT_GRT_USD,COINBASE,SPOT,GRT,USD,2022-01-06,2022-01-06T15:30:35.5731230Z,0.62605,GRT-USD,GRT,USD,0.0001,0.01,,,,,,2022-01-06T15:36:04.9412960Z,,,,,2020-12-17,2020-12-17T17:42:23.0005840Z,,,2020-12-17T17:55:29.1325270Z,1123292.4,703721.97,40317495.8,25258167.58,,,,,,,,
57327,COINBASE_SPOT_SKL_USD,COINBASE,SPOT,SKL,USD,2022-01-06,2022-01-06T15:40:38.9340110Z,0.18575,SKL-USD,SKL,USD,0.0001,0.1,,,,,,2022-01-06T15:39:55.9285900Z,,,,,2021-03-11,2021-03-11T17:01:54.4641330Z,,,2021-03-11T17:09:41.5339390Z,1049330.8,194948.98,36481252.8,6777636.71,,,,,,,,
57332,COINBASE_SPOT_MATIC_USD,COINBASE,SPOT,MATIC,USD,2022-01-06,2022-01-06T15:30:29.9741420Z,2.20905,MATIC-USD,MATIC,USD,0.0001,0.1,,,,,,2022-01-06T15:34:31.1053470Z,,,,,2021-03-11,2021-03-11T17:00:52.3792150Z,,,2021-03-11T17:06:12.5046990Z,3277613.8,7246171.96,103383282.2,228560497.42,,,,,,,,
57336,COINBASE_SPOT_SUSHI_USD,COINBASE,SPOT,SUSHI,USD,2022-01-06,2022-01-06T15:34:29.9620200Z,7.355,SUSHI-USD,SUSHI,USD,0.01,0.01,,,,,,2022-01-06T15:26:03.7394950Z,,,,,2021-03-11,2021-03-11T17:02:42.9236760Z,,,2021-03-11T17:17:36.7639950Z,110072.81,809694.46,4319013.6,31770619.62,,,,,,,,
58412,COINBASE_SPOT_ADA_USD,COINBASE,SPOT,ADA,USD,2022-01-06,2022-01-06T15:33:38.5793160Z,1.2291,ADA-USD,ADA,USD,0.0001,0.01,,,,,,2022-01-06T15:33:18.4067440Z,,,,,2021-03-18,2021-03-18T16:00:56.6968400Z,,,2021-03-18T16:06:23.7567970Z,3429372.12,4217665.61,118890342.09,146219100.65,,,,,,,,
59207,COINBASE_SPOT_ANKR_USD,COINBASE,SPOT,ANKR,USD,2022-01-06,2022-01-06T15:38:27.5942880Z,0.10037,ANKR-USD,ANKR,USD,1e-05,1.0,,,,,,2022-01-06T15:36:19.4031230Z,,,,,2021-03-25,2021-03-25T16:00:29.2256420Z,,,2021-03-25T16:07:52.7286430Z,3876699.0,388994.87,167751815.0,16832515.3,,,,,,,,
59209,COINBASE_SPOT_STORJ_USD,COINBASE,SPOT,STORJ,USD,2022-01-06,2022-01-06T15:30:21.2331780Z,1.625,STORJ-USD,STORJ,USD,0.01,0.01,,,,,,2022-01-06T15:36:50.7743570Z,,,,,2021-03-25,2021-03-25T16:00:32.4656050Z,,,2021-03-25T16:07:52.3025600Z,343879.14,558562.16,3565391.71,5791258.23,,,,,,,,
59212,COINBASE_SPOT_CRV_USD,COINBASE,SPOT,CRV,USD,2022-01-06,2022-01-06T15:29:43.7337750Z,5.335,CRV-USD,CRV,USD,0.01,0.01,,,,,,2022-01-06T15:30:41.9145160Z,,,,,2021-03-25,2021-03-25T16:00:36.8544900Z,,,2021-03-25T16:07:57.2156200Z,265716.41,1416583.59,10111832.53,53908059.44,,,,,,,,
61678,COINBASE_SPOT_OGN_USD,COINBASE,SPOT,OGN,USD,2022-01-06,2022-01-06T15:37:27.2171470Z,0.587,OGN-USD,OGN,USD,0.001,0.01,,,,,,2022-01-06T15:25:29.1111350Z,,,,,2021-04-09,2021-04-09T16:01:01.6282170Z,,,2021-04-09T16:07:25.6546070Z,234183.3,137533.15,6691270.44,3929705.96,,,,,,,,
61680,COINBASE_SPOT_NKN_USD,COINBASE,SPOT,NKN,USD,2022-01-06,2022-01-06T15:34:40.7613480Z,0.33065,NKN-USD,NKN,USD,0.0001,0.1,,,,,,2022-01-06T15:35:14.5337240Z,,,,,2021-04-09,2021-04-09T16:01:00.5740070Z,,,2021-04-09T16:07:25.8310550Z,374857.6,123949.36,13786884.2,4558732.35,,,,,,,,
61682,COINBASE_SPOT_1INCH_USD,COINBASE,SPOT,1INCH,USD,2022-01-06,2022-01-06T15:32:22.5604610Z,2.335,1INCH-USD,1INCH,USD,0.01,0.01,,,,,,2022-01-06T15:30:12.9004400Z,,,,,2021-04-09,2021-04-09T16:01:08.0057960Z,,,2021-04-09T16:07:24.9354530Z,86984.44,203085.24,2084286.36,4866247.23,,,,,,,,
61685,COINBASE_SPOT_ENJ_USD,COINBASE,SPOT,ENJ,USD,2022-01-06,2022-01-06T15:31:08.6195340Z,2.505,ENJ-USD,ENJ,USD,0.01,0.01,,,,,,2022-01-06T15:27:32.9921790Z,,,,,2021-04-09,2021-04-09T16:01:02.4413850Z,,,2021-04-09T16:07:24.2333210Z,451752.74,1131866.51,8825477.09,22112233.15,,,,,,,,
63144,COINBASE_SPOT_BAT_USD,COINBASE,SPOT,BAT,USD,2022-01-06,2022-01-06T15:30:38.9523970Z,1.1615,BAT-USD,BAT,USD,0.001,0.01,,,,,,2022-01-06T15:35:25.7950680Z,,,,,2021-04-20,2021-04-20T16:03:15.7547210Z,,,2021-04-20T16:24:50.3826170Z,297660.97,345978.97,8114726.61,9431954.54,,,,,,,,
63146,COINBASE_SPOT_MANA_USD,COINBASE,SPOT,MANA,USD,2022-01-06,2022-01-06T15:29:42.8184640Z,3.2545,MANA-USD,MANA,USD,0.001,0.01,,,,,,2022-01-06T15:31:52.0726110Z,,,,,2021-04-20,2021-04-20T16:07:30.7885910Z,,,2021-04-20T16:24:47.5661640Z,3635928.47,11841236.32,33880079.1,110338260.62,,,,,,,,
64862,COINBASE_SPOT_USDT_USD,COINBASE,SPOT,USDT,USD,2022-01-06,2022-01-06T15:43:10.5341250Z,0.9998,USDT-USD,USDT,USD,0.0001,0.01,,,,,,2022-01-06T15:34:01.5680250Z,,,,,2021-05-04,2021-05-11T22:24:25.8320260Z,,,2021-05-04T01:23:37.5882090Z,2242738.54,2242000.34,83269770.15,83242361.98,,,,,,,,
65736,COINBASE_SPOT_MIR_USD,COINBASE,SPOT,MIR,USD,2022-01-06,2022-01-06T15:29:21.0899310Z,2.006,MIR-USD,MIR,USD,0.001,0.01,,,,,,2022-01-06T15:39:51.8605970Z,,,,,2021-05-11,2021-05-11T22:24:28.7903730Z,,,2021-06-02T15:20:42.1598020Z,43510.06,87290.93,953277.66,1912488.59,,,,,,,,
65758,COINBASE_SPOT_TRB_USD,COINBASE,SPOT,TRB,USD,2022-01-06,2022-01-06T15:32:57.3787530Z,32.795,TRB-USD,TRB,USD,0.01,0.001,,,,,,2022-01-06T15:36:47.9367340Z,,,,,2021-05-11,2021-05-11T22:24:30.1235480Z,,,2021-06-02T15:20:24.5092920Z,1584.25,51980.83,70182.809,2302768.39,,,,,,,,
