,symbol,signal,req,trades,pv,minutes,retrack_days
618,eth,0.25,0.15,1,115.23513975090597,0.0,3
546,eth,0.25,0.15,1,115.12541278815016,0.0,2
474,eth,0.25,0.15,1,115.0910070005385,0.0,1
770,eth,0.3,0.15,1,115.04973024553165,0.0,5
106,btc,0.2,0.15,1,115.00148573692553,0.0,2
186,btc,0.25,0.15,1,115.00148573692553,0.0,3
34,btc,0.2,0.15,1,115.00148573692553,0.0,1
258,btc,0.25,0.15,1,115.00148573692553,0.0,4
464,eth,0.2,0.05,2,114.05619524622165,0.0,1
536,eth,0.2,0.05,2,113.67044475007266,0.0,2
392,btc,0.2,0.05,2,111.61877776636453,0.0,6
760,eth,0.25,0.05,2,111.27090017891999,0.0,5
688,eth,0.25,0.05,2,111.03637728386522,0.0,4
832,eth,0.25,0.05,2,110.89223952288427,0.0,6
824,eth,0.2,0.05,2,110.69006363332177,0.0,6
248,btc,0.2,0.05,2,110.67753856956861,0.0,4
320,btc,0.2,0.05,2,110.611600726677,0.0,5
769,eth,0.3,0.1,1,110.58832165008991,0.0,5
680,eth,0.2,0.05,2,110.4502208589657,0.0,4
752,eth,0.2,0.05,2,110.40865009987523,0.0,5
833,eth,0.25,0.1,1,110.25503090451984,0.0,6
473,eth,0.25,0.1,1,110.17339795368875,0.0,1
177,btc,0.2,0.1,1,110.14269455269579,0.0,3
617,eth,0.25,0.1,1,110.11684092139792,0.0,3
545,eth,0.25,0.1,1,110.098214190294,0.0,2
185,btc,0.25,0.1,1,110.00429212889593,0.0,3
105,btc,0.2,0.1,1,110.00429212889593,0.0,2
257,btc,0.25,0.1,1,110.00429212889593,0.0,4
33,btc,0.2,0.1,1,110.00429212889593,0.0,1
768,eth,0.3,0.05,1,105.80834587294015,0.0,5
544,eth,0.25,0.05,1,105.55300253283602,0.0,2
616,eth,0.25,0.05,1,105.23180738951139,0.0,3
176,btc,0.2,0.05,1,105.0429640609017,0.0,3
472,eth,0.25,0.05,1,105.041464728056,0.0,1
184,btc,0.25,0.05,1,105.00683438985736,0.0,3
104,btc,0.2,0.05,1,105.00683438985736,0.0,2
256,btc,0.25,0.05,1,105.00683438985736,0.0,4
32,btc,0.2,0.05,1,105.00683438985736,0.0,1
579,eth,0.0,0.2,0,100.0,,3
624,eth,0.3,0.05,0,100.0,,3
625,eth,0.3,0.1,0,100.0,,3
578,eth,0.0,0.15,0,100.0,,3
626,eth,0.3,0.15,0,100.0,,3
627,eth,0.3,0.2,0,100.0,,3
628,eth,0.3,0.25,0,100.0,,3
581,eth,0.0,0.3,0,100.0,,3
580,eth,0.0,0.25,0,100.0,,3
629,eth,0.3,0.3,0,100.0,,3
630,eth,0.3,0.35,0,100.0,,3
631,eth,0.3,0.4,0,100.0,,3
632,eth,0.35,0.05,0,100.0,,3
582,eth,0.0,0.35,0,100.0,,3
583,eth,0.0,0.4,0,100.0,,3
0,btc,0.0,0.05,0,100.0,,1
720,eth,0.0,0.05,0,100.0,,5
633,eth,0.35,0.1,0,100.0,,3
634,eth,0.35,0.15,0,100.0,,3
796,eth,0.0,0.25,0,100.0,,6
795,eth,0.0,0.2,0,100.0,,6
794,eth,0.0,0.15,0,100.0,,6
793,eth,0.0,0.1,0,100.0,,6
792,eth,0.0,0.05,0,100.0,,6
791,eth,0.4,0.4,0,100.0,,5
790,eth,0.4,0.35,0,100.0,,5
789,eth,0.4,0.3,0,100.0,,5
788,eth,0.4,0.25,0,100.0,,5
787,eth,0.4,0.2,0,100.0,,5
786,eth,0.4,0.15,0,100.0,,5
785,eth,0.4,0.1,0,100.0,,5
784,eth,0.4,0.05,0,100.0,,5
783,eth,0.35,0.4,0,100.0,,5
782,eth,0.35,0.35,0,100.0,,5
781,eth,0.35,0.3,0,100.0,,5
780,eth,0.35,0.25,0,100.0,,5
779,eth,0.35,0.2,0,100.0,,5
778,eth,0.35,0.15,0,100.0,,5
777,eth,0.35,0.1,0,100.0,,5
776,eth,0.35,0.05,0,100.0,,5
775,eth,0.3,0.4,1,100.0,0.0,5
727,eth,0.0,0.4,0,100.0,,5
797,eth,0.0,0.3,0,100.0,,6
798,eth,0.0,0.35,0,100.0,,6
799,eth,0.0,0.4,0,100.0,,6
852,eth,0.35,0.25,0,100.0,,6
862,eth,0.4,0.35,0,100.0,,6
861,eth,0.4,0.3,0,100.0,,6
860,eth,0.4,0.25,0,100.0,,6
859,eth,0.4,0.2,0,100.0,,6
858,eth,0.4,0.15,0,100.0,,6
857,eth,0.4,0.1,0,100.0,,6
856,eth,0.4,0.05,0,100.0,,6
855,eth,0.35,0.4,0,100.0,,6
854,eth,0.35,0.35,0,100.0,,6
853,eth,0.35,0.3,0,100.0,,6
851,eth,0.35,0.2,0,100.0,,6
840,eth,0.3,0.05,0,100.0,,6
850,eth,0.35,0.15,0,100.0,,6
849,eth,0.35,0.1,0,100.0,,6
848,eth,0.35,0.05,0,100.0,,6
847,eth,0.3,0.4,0,100.0,,6
846,eth,0.3,0.35,0,100.0,,6
845,eth,0.3,0.3,0,100.0,,6
844,eth,0.3,0.25,0,100.0,,6
843,eth,0.3,0.2,0,100.0,,6
842,eth,0.3,0.15,0,100.0,,6
841,eth,0.3,0.1,0,100.0,,6
726,eth,0.0,0.35,0,100.0,,5
725,eth,0.0,0.3,0,100.0,,5
724,eth,0.0,0.25,0,100.0,,5
646,eth,0.4,0.35,0,100.0,,3
696,eth,0.3,0.05,0,100.0,,4
655,eth,0.0,0.4,0,100.0,,4
654,eth,0.0,0.35,0,100.0,,4
653,eth,0.0,0.3,0,100.0,,4
652,eth,0.0,0.25,0,100.0,,4
651,eth,0.0,0.2,0,100.0,,4
650,eth,0.0,0.15,0,100.0,,4
649,eth,0.0,0.1,0,100.0,,4
648,eth,0.0,0.05,0,100.0,,4
647,eth,0.4,0.4,0,100.0,,3
645,eth,0.4,0.3,0,100.0,,3
698,eth,0.3,0.15,0,100.0,,4
644,eth,0.4,0.25,0,100.0,,3
643,eth,0.4,0.2,0,100.0,,3
642,eth,0.4,0.15,0,100.0,,3
641,eth,0.4,0.1,0,100.0,,3
640,eth,0.4,0.05,0,100.0,,3
639,eth,0.35,0.4,0,100.0,,3
638,eth,0.35,0.35,0,100.0,,3
637,eth,0.35,0.3,0,100.0,,3
636,eth,0.35,0.25,0,100.0,,3
635,eth,0.35,0.2,0,100.0,,3
697,eth,0.3,0.1,0,100.0,,4
699,eth,0.3,0.2,0,100.0,,4
723,eth,0.0,0.2,0,100.0,,5
712,eth,0.4,0.05,0,100.0,,4
722,eth,0.0,0.15,0,100.0,,5
721,eth,0.0,0.1,0,100.0,,5
576,eth,0.0,0.05,0,100.0,,3
719,eth,0.4,0.4,0,100.0,,4
718,eth,0.4,0.35,0,100.0,,4
717,eth,0.4,0.3,0,100.0,,4
716,eth,0.4,0.25,0,100.0,,4
715,eth,0.4,0.2,0,100.0,,4
714,eth,0.4,0.15,0,100.0,,4
713,eth,0.4,0.1,0,100.0,,4
711,eth,0.35,0.4,0,100.0,,4
700,eth,0.3,0.25,0,100.0,,4
710,eth,0.35,0.35,0,100.0,,4
709,eth,0.35,0.3,0,100.0,,4
708,eth,0.35,0.25,0,100.0,,4
707,eth,0.35,0.2,0,100.0,,4
706,eth,0.35,0.15,0,100.0,,4
705,eth,0.35,0.1,0,100.0,,4
704,eth,0.35,0.05,0,100.0,,4
703,eth,0.3,0.4,0,100.0,,4
702,eth,0.3,0.35,0,100.0,,4
701,eth,0.3,0.3,0,100.0,,4
577,eth,0.0,0.1,0,100.0,,3
432,eth,0.0,0.05,0,100.0,,1
575,eth,0.4,0.4,0,100.0,,2
202,btc,0.35,0.15,0,100.0,,3
196,btc,0.3,0.25,0,100.0,,3
197,btc,0.3,0.3,0,100.0,,3
198,btc,0.3,0.35,0,100.0,,3
199,btc,0.3,0.4,0,100.0,,3
200,btc,0.35,0.05,0,100.0,,3
201,btc,0.35,0.1,0,100.0,,3
203,btc,0.35,0.2,0,100.0,,3
194,btc,0.3,0.15,0,100.0,,3
204,btc,0.35,0.25,0,100.0,,3
205,btc,0.35,0.3,0,100.0,,3
206,btc,0.35,0.35,0,100.0,,3
207,btc,0.35,0.4,0,100.0,,3
208,btc,0.4,0.05,0,100.0,,3
209,btc,0.4,0.1,0,100.0,,3
195,btc,0.3,0.2,0,100.0,,3
193,btc,0.3,0.1,0,100.0,,3
211,btc,0.4,0.2,0,100.0,,3
144,btc,0.0,0.05,0,100.0,,3
138,btc,0.4,0.15,0,100.0,,2
139,btc,0.4,0.2,0,100.0,,2
140,btc,0.4,0.25,0,100.0,,2
141,btc,0.4,0.3,0,100.0,,2
142,btc,0.4,0.35,0,100.0,,2
143,btc,0.4,0.4,0,100.0,,2
145,btc,0.0,0.1,0,100.0,,3
192,btc,0.3,0.05,0,100.0,,3
146,btc,0.0,0.15,0,100.0,,3
147,btc,0.0,0.2,0,100.0,,3
148,btc,0.0,0.25,0,100.0,,3
149,btc,0.0,0.3,0,100.0,,3
150,btc,0.0,0.35,0,100.0,,3
151,btc,0.0,0.4,0,100.0,,3
210,btc,0.4,0.15,0,100.0,,3
212,btc,0.4,0.25,0,100.0,,3
136,btc,0.4,0.05,0,100.0,,2
278,btc,0.35,0.35,0,100.0,,4
